#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0035613,RNA stem-loop binding,3,16,2.29,8.99E-05,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","RC3H1,ZC3H12A,RC3H2"
GO:0004842,ubiquitin-protein transferase activity,5,370,1.14,0.0014,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000481570","MALT1,RBCK1,RC3H1,RC3H2,TNFAIP3"
GO:0008234,cysteine-type peptidase activity,4,199,1.32,0.0014,"9606.ENSP00000286186,9606.ENSP00000319279,9606.ENSP00000392025,9606.ENSP00000481570","CASP10,MALT1,CYLD,TNFAIP3"
GO:0043621,protein self-association,3,55,1.75,0.0014,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000481570","MALT1,BCL10,TNFAIP3"
GO:0046872,metal ion binding,12,4087,0.48,0.0014,"9606.ENSP00000340839,9606.ENSP00000348632,9606.ENSP00000349458,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000368215,9606.ENSP00000376505,9606.ENSP00000378400,9606.ENSP00000386616,9606.ENSP00000392025,9606.ENSP00000481570","ZC3H12B,RBCK1,ICK,RC3H1,ZC3H12A,RC3H2,TAB3,TANK,LIMA1,ZC3H12D,CYLD,TNFAIP3"
GO:0061578,Lys63-specific deubiquitinase activity,2,11,2.27,0.0014,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0140096,"catalytic activity, acting on a protein",9,2176,0.63,0.0014,"9606.ENSP00000286186,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000349458,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","CASP10,MALT1,RBCK1,ICK,RC3H1,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0004519,endonuclease activity,3,118,1.42,0.0025,"9606.ENSP00000340839,9606.ENSP00000362179,9606.ENSP00000386616","ZC3H12B,ZC3H12A,ZC3H12D"
GO:0002020,protease binding,3,135,1.36,0.0034,"9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000481570","MALT1,BCL10,TNFAIP3"
GO:0035198,miRNA binding,2,26,1.9,0.0034,"9606.ENSP00000356669,9606.ENSP00000362179","RC3H1,ZC3H12A"
GO:0003729,mRNA binding,3,198,1.19,0.0072,"9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","RC3H1,ZC3H12A,RC3H2"
GO:0043167,ion binding,13,6066,0.34,0.0072,"9606.ENSP00000340839,9606.ENSP00000348632,9606.ENSP00000349458,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000368215,9606.ENSP00000376505,9606.ENSP00000378400,9606.ENSP00000386616,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","ZC3H12B,RBCK1,ICK,RC3H1,ZC3H12A,RC3H2,TAB3,TANK,LIMA1,ZC3H12D,CYLD,TNFAIP3,MAP3K14"
GO:0003730,mRNA 3'-UTR binding,2,63,1.51,0.0127,"9606.ENSP00000356669,9606.ENSP00000362179","RC3H1,ZC3H12A"
GO:0003824,catalytic activity,12,5592,0.34,0.0127,"9606.ENSP00000286186,9606.ENSP00000319279,9606.ENSP00000340839,9606.ENSP00000348632,9606.ENSP00000349458,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000386616,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","CASP10,MALT1,ZC3H12B,RBCK1,ICK,RC3H1,ZC3H12A,RC3H2,ZC3H12D,CYLD,TNFAIP3,MAP3K14"
GO:0043130,ubiquitin binding,2,66,1.49,0.0127,"9606.ENSP00000348632,9606.ENSP00000481570","RBCK1,TNFAIP3"
GO:0003725,double-stranded RNA binding,2,70,1.47,0.0132,"9606.ENSP00000356669,9606.ENSP00000362774","RC3H1,RC3H2"
GO:0004843,thiol-dependent ubiquitin-specific protease activity,2,80,1.41,0.0156,"9606.ENSP00000392025,9606.ENSP00000481570","CYLD,TNFAIP3"
GO:0004197,cysteine-type endopeptidase activity,2,85,1.38,0.0157,"9606.ENSP00000286186,9606.ENSP00000319279","CASP10,MALT1"
GO:0019899,enzyme binding,7,2197,0.52,0.0157,"9606.ENSP00000221452,9606.ENSP00000286186,9606.ENSP00000319279,9606.ENSP00000359612,9606.ENSP00000376505,9606.ENSP00000392025,9606.ENSP00000481570","RELB,CASP10,MALT1,BCL10,TANK,CYLD,TNFAIP3"
GO:0031625,ubiquitin protein ligase binding,3,311,1,0.0157,"9606.ENSP00000286186,9606.ENSP00000359612,9606.ENSP00000376505","CASP10,BCL10,TANK"
GO:0016740,transferase activity,7,2250,0.51,0.016,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000349458,9606.ENSP00000356669,9606.ENSP00000362774,9606.ENSP00000481570,9606.ENSP00000482657","MALT1,RBCK1,ICK,RC3H1,RC3H2,TNFAIP3,MAP3K14"
GO:0019900,kinase binding,4,678,0.78,0.016,"9606.ENSP00000221452,9606.ENSP00000359612,9606.ENSP00000392025,9606.ENSP00000481570","RELB,BCL10,CYLD,TNFAIP3"
